name,date,county,county_state,city,city_state,state,race,denomination
Rose Branch Methodist Episcopal Church,1877,Levy,,Otter Creek,,Florida,African-American,Methodist Episcopal
Mount Nebo Missionary Baptist Church,1908,Bay,,New Majette,,Florida,African-American,Baptist
Allen Chapel African Methodist Episcopal Church,1895,Levy,,Williston,,Florida,African-American,African Methodist Episcopal
Shady Grove Baptist Church,1860,Jackson,,Grand Ridge,,Florida,White,Southern Baptist Convention
Church of God,1911,Okeechobee,,Bassinger,,Florida,White,Conventional Holiness
Livingston Memorial Methodist Episcopal Church,1909,Osceola,,St. Cloud,,Florida,White,"Methodist Episcopal Church, South"
Bethany Seventh Day Adventist Church,1913,Dade,,Miami,,Florida,African-American,Adventist
New Hopeful Baptist Church,1900,Madison,,Madison,,Florida,White,Southern Baptist Convention
St. Patrick's Roman Catholic Church,1851,Franklin,,Apalachicola,,Florida,White,Catholic
Emanuel Missionary Baptist Church,1932,Alachua,,Gainesville,,Florida,White,Baptist
"The House of God,Which is the Church of the Living God, The Pillar and Ground of the Truth",1920,Orange,,Apopka,,Florida,African-American,Community Church
First Christian Church,1924,Volusia,,New Smyrna Beach,,Florida,White,Disciples of Christ
Trinity Episcopal Church,1896,Dade,,Miami,,Florida,White,Episcopal
Sweetfield Missionary Baptist Church,1909,Duval,,Jacksonville,,Florida,African-American,Baptist
Sanderson Mission of Church of God in Christ,1926,Baker,,Sanderson,,Florida,African-American,Church of God
Mount Nebo Methodist Episcopal Church,1860,Alachua,,Alachua,,Florida,African-American,Methodist
Church of Christ,1938,Orange,,Orlando,,Florida,African-American,Churches of Christ
Bethel Baptist Church,1915,Orange,,Orlando,,Florida,African-American,National Baptist Convention of America Inc.
St. Joseph Methodist Episcopal Church,1889,Duval,,Jacksonville,,Florida,African-American,Methodist
Saint John's Baptist,1905,Palm Beach,,West Palm Beach,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Christ Church,1901,Dade,,Miami,,Florida,African-American,Episcopal
Greenland Union Baptist Church,1928,Volusia,,Barberville,,Florida,African-American,National Baptist Convention of America Inc.
Saint Joseph Baptist Church,1927,Duval,,Jacksonville,,Florida,African-American,Baptist
Lone Pilgrim Church,1887,Pinellas,,Largo,,Florida,African-American,Mount Enon Primitive Baptist Church
"The House of God Which is the Church of the Living God, The Pillar and Ground of the Truth Without Controversy",1921,Hillsborough,,Tampa,,Florida,African-American,Churches of the Living God
Mount Olive Church,1862,Jackson,,Marianna,,Florida,African-American,African Methodist Episcopal Church
Webster Methodist Episcopal Church,1890,Sumter,,Webster,,Florida,White,"Methodist Episcopal Church, South"
Burbank Methodist Church,1911,Marion,,Burbank,,Florida,White,"Methodist Episcopal Church, South"
Congregational Jacob Joseph,1939,Dade,,Miami Beach,,Florida,Jewish,Jewish Orthodox Church
Salem Primitive Baptist Church,1840,Columbia,,Lake City,,Florida,White,Baptist
African Methodist Episcopal Church,1910,Orange,,Winter Garden,,Florida,African-American,African Methodist Episcopal
Parksons Memorial Church,1936,Levy,,Yankeetown,,Florida,White,Presbyterian
Mount Zion Holiness Church,1935,Calhoun,,Altha,,Florida,White,Pentecostal
Hillsborough County Church Histories,1937,Hillsborough,,null,,Florida,null,null
St. Marks African Methodist Epsicopal Church,1915,Orange,,Orlando,,Florida,African-American,African Methodist Episcopal
Community Church,1913,Indian River,,Fellsmere,,Florida,White,Interdenominational
Church of God,1934,Sumter,,Adamsville,,Florida,White,Churches of God
The First Born Church of the Living God,1926,Brevard,,Titusville,,Florida,African-American,Pentecostal
Mount Zion Church,1918,Leon,,Miccosukee,,Florida,African-American,Florida Union Methodist Episcopal in American
Glorious Holy Church of God in America,1935,Escambia,,Barrineau Park,,Florida,African-American,Holiness
Allen Chapel African Methodist Episcopal Church,1870,Baker,,Macclenny,,Florida,African-American,Methodist
Woodland Church,1936,Gadsden,,Sawdust,,Florida,African-American,Presbyterian
Seventh Day Adventist,1907,Putnam,,East Palatka,,Florida,White,Seventh-day Adventist Church
Shiloh Baptist Church,1913,Baker,,Macclenny,,Florida,White,Baptist
Petersburg Methodist Church,1880,Suwannee,,Branford,,Florida,White,Congregational Methodist Church
Ft. White Methodist Church,1889,Columbia,,Fort White,,Florida,White,Methodist
Seventh Day Adventist Church,1892,Hillsborough,,Tampa,,Florida,White,Adventist
Casaba Baptist Church,1935,Madison,,Madison,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Memorial Evangelical Luthern Church,1924,St. Johns,,St. Augustine,,Florida,White,United Lutheran Church in America
Free Will Spiritual Church,1933,Duval,,Jacksonville,,Florida,African-American,Spiritualist
First Samuel Missionary Baptist Church,1932,Duval,,Jacksonville,,Florida,African-American,Baptist
St.Paul's Mission,1895,St. Lucie,,Walton,,Florida,White,Protestant Episcopal Church
"Winona Methodist Episcopal Church, South",1892,Volusia,,DeLeon Springs,,Florida,White,"Methodist Episcopal Church, South"
Wesley Chapel Methodist Episcopal Church,1890,Alachua,,Gainesville,,Florida,White,Methodist
Church of Christ,1894,Escambia,,Pensacola,,Florida,White,Non-Denominational
Holy Tabernacle Church,1899,Seminole,,Sanford,,Florida,African-American,non-denominational
Oak Hill Methodist Church,1930,Madison,,Pinetta,,Florida,White,"Methodist Episcopal Church, South"
Saint Paul African Methodist Episcopal Church,1915,Dade,,Miami,,Florida,African-American,Methodist
Flemington Baptist Church,1884,Marion,,Flemington,,Florida,White,Southern Baptist Convention
First Baptist Church,1880,Volusia,,DeLand,,Florida,White,Southern Baptist Convention
Piney-Grove Missionary Baptist Church,1913,Duval,,Jacksonville,,Florida,African-American,Baptist
Saint Marks A.M.E. Church,1935,Jackson,,Marianna,,Florida,African-American,African Methodist Episcopal Church
Presbyterian Church of Safety Harbor,1922,Pinellas,,Safety Harbor,,Florida,White,Presbyterian Church of the United States
Mission and Church of Our Merciful Savious of New Berlin,1890,Duval,,New Berlin,,Florida,White,Episcopal
Berea Baptist Church,1920,Duval,,Jacksonville,,Florida,White,Baptist
Wildwood Baptist Church,1934,Sumter,,Oxford,,Florida,White,Southern Baptist Convention
First Methodist Church,1823,Duval,,Jacksonville,,Florida,White,Methodist
New Saint James African Methodist Episcopal Church,1898,Duval,,Jacksonville,,Florida,African-American,Methodist
Christ's Church,1887,Polk,,Fort Meade,,Florida,White,Protestant Episcopal Church
Mount Zion African Methodist Episcopal Church,1909,Broward,,Dania,,Florida,African-American,Methodist
Englewood Methodist Church,1890,Sarasota,,Englewood,,Florida,White,Methodist
Mount Pisgah Methodist Church,1891,Suwannee,,Branford,,Florida,African-American,African Methodist Episcopal Church
Shiloh Metropolitan Missionary Baptist Church,1878,Duval,,Jacksonville,,Florida,African-American,Baptist
Trinity Episcopal,1927,Indian River,,Vero Beach,,Florida,White,Protestant Episcopal
Church of Christ,1932,Lake,,Mount Dora,,Florida,White,Churches of Christ
African Baptist Church,1868,Suwannee,,Live Oak,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Philadelphia Church,1828,Gadsden,,Quincy,,Florida,White,Presbyterian
Hamilton County Tax Roll,1939,Hamilton,,null,,Florida,null,null
Antioch Primitive Baptist Church,1904,Orange,,Orlando,,Florida,African-American,National Baptist Convention of America Inc.
Turner's Chappelle African Methodist Episcopal Church,1917,Martin,,Salerno,,Florida,African-American,African Methodist Episcopal Church
Sanctified Church,1920,Leon,,Tallahassee,,Florida,African-American,Church of God in Christ
First Baptist Church,1927,Highlands,,Venus,,Florida,White,Southern Baptist Convention
Oak Grove Primitive Baptist Church,1927,Sumter,,Wildwood,,Florida,White,Southern Baptist Convention
Mount Carmel Church of God in Unity,1928,Columbia,,Lake City,,Florida,African-American,Church of God
Volusia County Tax Roll,1939,Volusia,,null,,Florida,null,null
Mt. Zion Missionary Baptist Church,1871,Gadsden,,Quincy,,Florida,White,Baptist
Wide Fellowship Congregational Church,1935,Sarasota,,Sarasota,,Florida,White,Congregational and Christian Churches
Jerusalem Baptist Church,1886,Marion,,Ocala,,Florida,White,Southern Baptist Convention
Westminster Presbyterian Church,1923,Orange,,Orlando,,Florida,White,Presbyterian
Bellview Baptist Church,1937,Escambia,,Pensacola,,Florida,White,General Baptist
St. Paul's Missionary Baptist Church,1908,Volusia,,Lake Helen,,Florida,African-American,National Baptist Convention of America Inc.
Pinnie Grove Missionary Baptist Church,1908,Bay,,West Bay,,Florida,African-American,Baptist
The Chapel in The Fort San Marcos,1565,St. Johns,,St. Augustine,,Florida,White,Roman Catholic
New Mount Zion Baptist Church,1916,Wakulla,,Wakulla,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Baptist Church,1889,Lee,,Fort Myers,,Florida,White,Southern Baptist Convention
Cerlew Methodist Church,1869,Pinellas,,Palm Harbor,,Florida,White,"Methodist Episcopal Church, South"
"Providence Methodist Episcopal Church, South",1852,Alachua,,Windsor,,Florida,White,Methodist
The First Presbyterians Church of Waverly Florida,1914,Polk,,Waverly,,Florida,White,Presbyterian Church of the United States
Bethel Baptist Church,1900,Volusia,,Eldridge,,Florida,African-American,National Baptist Convention of America Inc.
Saint Mary's Protestant Episcopal Church of Jacksonville,1888,Duval,,Jacksonville,,Florida,White,Episcopal
First Presbyterian Church,1833,Gadsden,,Quincy,,Florida,White,Presbyterian
Reformed Presbyetrian Church of the Coveanters,1920,Orange,,Orlando,,Florida,White,Presbyterian
Church of God,1939,Palm Beach,,South Bay,,Florida,African-American,Church of God
Hope Henry African Methodist Episcopal Church,1872,Columbia,,Lake City,,Florida,African-American,Methodist
Antioch Missionary Baptist Church,1923,Dade,,Miami,,Florida,African-American,Baptist
First Born Church of the Living God,1935,Brevard,,Cocoa,,Florida,African-American,Pentecostal
Saint James Baptist Church,1898,Levy,,Morriston,,Florida,African-American,Baptist
New Providence Baptist Church,1871,Santa Rosa,,Bagdad,,Florida,African-American,National Baptist Convention of America Inc.
Saint Matthews Baptist Church,1880,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Triumph the Church and Kingdom of God in Christ,1927,Seminole,,Sanford,,Florida,African-American,Community Church
The Bradenton Revival Temple,1932,Manatee,,Bradenton,,Florida,White,International Evangelistic Apostolic and Missionary Association
First Baptist Church,1917,Hillsborough,,Sulphur Springs,,Florida,White,Baptist
Church of God By Faith,1923,St. Johns,,St. Augustine,,Florida,African-American,Sanctified (Independent)
Terra Ceia Baptist Church,1904,Manatee,,Terra Ceia,,Florida,White,Southern Baptist Convention
Pine Hill Baptist Church,1937,Gilchrist,,Trenton,,Florida,African-American,Baptist
Little Rock Baptist Church,1911,Escambia,,Pensacola,,Florida,African-American,National Baptist Convention of America
Sopchoppy Methodist Church,1850,Wakulla,,Sopchoppy,,Florida,White,"Methodist Episcopal Church, South"
Saint John's African Methodist Episcopal Church,1880,Marion,,Citra,,Florida,African-American,African Methodist Episcopal Church
Stephensville Baptist Church,1930,Taylor,,Stephensville,,Florida,White,Southern Baptist Convention
Church of Christ,1917,Highlands,,Avon Park,,Florida,White,Churches of Christ
Lake County Incorporations,1939,Lake,,null,,Florida,null,null
"First Church of Christ, Scientist",1927,Broward,,Hollywood,,Florida,White,"Church of Christ, Scientist"
First Missionary Baptist Church,1885,Bay,,Saint Andrews,,Florida,White,Baptist
Cypress Grove Church,1891,Baker,,Olustee,,Florida,White,Methodist
China Grove Baptist Church,1905,Bradford,,Starke,,Florida,White,Baptist
Free Methodist Church,1921,Dade,,Miami,,Florida,White,Methodist
The Church of the Redeemer,1890,Highlands,,Avon Park,,Florida,White,Protestant Episcopal
Galilee Missionary Baptist Church,1939,Pinellas,,St. Petersburg,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Riverview Methodist Church,1850,Hillsborough,,Riverview,,Florida,White,Methodist
Saint James African Methodist Episcopal Church,1882,Suwannee,,Rixford Village,,Florida,African-American,African Methodist Episcopal Church
New Jerusalem Church,1927,Gadsden,,Havana,,Florida,African-American,Baptist
Bagdad Assembly of God Church,1924,Santa Rosa,,Bagdad,,Florida,White,General Council of The Assemblies of God
Oak Grove Missionary Baptist Church,1918,Duval,,Hogan,,Florida,White,Baptist
Potter's Chapel African Methodist Episcopal Church,1924,Polk,,Homeland,,Florida,African-American,African Methodist Episcopal Church
Harmony Baptist Church,1886,Jackson,,Grand Ridge,,Florida,White,Southern Baptist Convention
Community Holiness Church,1932,Wakulla,,Sopchoppy,,Florida,White,Pentecostal Holiness Church
Ellaville Mission African Methodist Episcopal Church,1872,Suwannee,,Ellaville,,Florida,African-American,African Methodist Episcopal Church
Union Baptist Church,1862,Escambia,,Molino,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Bethlehem Methodist Church,1870,Levy,,Cedar Key,,Florida,African-American,Colored Methodist Episcopal
Springfield Baptist Church,1905,Suwannee,,Live Oak,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Palace Church,1891,Gadsden,,Havana,,Florida,African-American,African Methodist Episcopal
Corinth Baptist Church,1879,Levy,,Bronson,,Florida,White,Baptist
Mount Zion Assembly of God,1929,Hillsborough,,Tampa,,Florida,White,Assemblies of God
Park Temple Methodist Episcopal Church,1911,Broward,,Fort Lauderdale,,Florida,White,Methodist
First Presbyterian Church of Micanopy,1854,Alachua,,Micanopy,,Florida,White,Presbyterian
"Church of The Living God, Pillar and Ground of Truth",1924,Palm Beach,,West Palm Beach,,Florida,African-American,"Church of The Living God, Pillar and Ground of Truth"
Antioch Baptist Church,1870,Gadsden,,Quincy,,Florida,White,Baptist
Allen Chapel African Methodist Episcopal Church,1890,Hillsborough,,Plant City,,Florida,African-American,African Methodist Episcopal
Church of Christ,1929,Pinellas,,St. Petersburg,,Florida,White,Churches of Christ
Community Congregational Church,1925,Lee,,Fort Myers,,Florida,White,Congregational and Christian Churches
Church of Christ,1935,Duval,,Jacksonville,,Florida,White,Church of Christ
New Bethel Baptist Church,1890,Marion,,Ocala,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Airline Missionary Baptist Church,1909,Lafayette,,Mayo,,Florida,White,Southern Baptist Convention
New Bethel Church,1867,Jefferson,,Monticello,,Florida,African-American,African Methodist Episcopal Church
Union Bethel Methodist Episcopal Church,1870,Levy,,Montbrook,,Florida,African-American,Methodist Episcopal
